,Movie,Score,Year,Director,Cast,Link
45,Tiempos modernos,8.4,1936,Charles Chaplin,"Charles Chaplin, Paulette Goddard",https://imbd.com/title/tt0027977/
46,Top Gun: Maverick,8.4,2022,Joseph Kosinski,"Tom Cruise, Jennifer Connelly",https://imbd.com/title/tt1745960/
47,La tumba de las luciérnagas,8.4,1988,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi",https://imbd.com/title/tt0095327/
48,Hasta que llegó su hora,8.4,1968,Sergio Leone,"Henry Fonda, Charles Bronson",https://imbd.com/title/tt0064116/
49,La ventana indiscreta,8.4,1954,Alfred Hitchcock,"James Stewart, Grace Kelly",https://imbd.com/title/tt0047396/
50,"Alien, el octavo pasajero",8.4,1979,Ridley Scott,"Sigourney Weaver, Tom Skerritt",https://imbd.com/title/tt0078748/
51,Luces de la ciudad,8.4,1931,Charles Chaplin,"Charles Chaplin, Virginia Cherrill",https://imbd.com/title/tt0021749/
52,Cinema Paradiso,8.4,1988,Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale",https://imbd.com/title/tt0095765/
53,Memento,8.4,2000,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss",https://imbd.com/title/tt0209144/
54,Apocalypse Now,8.4,1979,Francis Ford Coppola,"Martin Sheen, Marlon Brando",https://imbd.com/title/tt0078788/
55,En busca del arca perdida,8.4,1981,Steven Spielberg,"Harrison Ford, Karen Allen",https://imbd.com/title/tt0082971/
56,Django desencadenado,8.4,2012,Quentin Tarantino,"Jamie Foxx, Christoph Waltz",https://imbd.com/title/tt1853728/
57,WALL·E,8.4,2008,Andrew Stanton,"Ben Burtt, Elissa Knight",https://imbd.com/title/tt0910970/
58,La vida de los otros,8.4,2006,Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck",https://imbd.com/title/tt0405094/
59,El crepúsculo de los dioses,8.4,1950,Billy Wilder,"William Holden, Gloria Swanson",https://imbd.com/title/tt0043014/
60,Senderos de gloria,8.4,1957,Stanley Kubrick,"Kirk Douglas, Ralph Meeker",https://imbd.com/title/tt0050825/
